Areaname,Land Area
San Luis Obispo_California_UnitedStates,3298.57
San Mateo_California_UnitedStates,448.41
Santa Barbara_California_UnitedStates,2735.09
Santa Clara_California_UnitedStates,1290.1
Santa Cruz_California_UnitedStates,445.17
Shasta_California_UnitedStates,3775.4
Sierra_California_UnitedStates,953.21
Siskiyou_California_UnitedStates,6277.89
Solano_California_UnitedStates,821.77
Sonoma_California_UnitedStates,1575.85
Stanislaus_California_UnitedStates,1494.83
Sutter_California_UnitedStates,602.41
Tehama_California_UnitedStates,2949.71
Trinity_California_UnitedStates,3179.25
Tulare_California_UnitedStates,4824.22
Tuolumne_California_UnitedStates,2220.88
Ventura_California_UnitedStates,1843.13
Yolo_California_UnitedStates,1014.69
Yuba_California_UnitedStates,631.84
Adams_Colorado_UnitedStates,1167.65
Alamosa_Colorado_UnitedStates,722.64
Arapahoe_Colorado_UnitedStates,798.1
Archuleta_Colorado_UnitedStates,1350.18
Baca_Colorado_UnitedStates,2554.97
Bent_Colorado_UnitedStates,1512.86
Boulder_Colorado_UnitedStates,726.29
Broomfield_Colorado_UnitedStates,33.03
Chaffee_Colorado_UnitedStates,1013.4
Cheyenne_Colorado_UnitedStates,1778.28
Clear Creek_Colorado_UnitedStates,395.23
Conejos_Colorado_UnitedStates,1287.39
Costilla_Colorado_UnitedStates,1226.95
Crowley_Colorado_UnitedStates,787.42
Custer_Colorado_UnitedStates,738.63
Delta_Colorado_UnitedStates,1142.05
Denver_Colorado_UnitedStates,153.0
Dolores_Colorado_UnitedStates,1067.05
Douglas_Colorado_UnitedStates,840.25
Eagle_Colorado_UnitedStates,1684.53
Elbert_Colorado_UnitedStates,1850.85
El Paso_Colorado_UnitedStates,2126.8
Fremont_Colorado_UnitedStates,1533.07
Garfield_Colorado_UnitedStates,2947.56
Gilpin_Colorado_UnitedStates,149.9
Grand_Colorado_UnitedStates,1846.33
Gunnison_Colorado_UnitedStates,3239.1
Hinsdale_Colorado_UnitedStates,1117.25
Huerfano_Colorado_UnitedStates,1591.0
Jackson_Colorado_UnitedStates,1613.72
Jefferson_Colorado_UnitedStates,764.21
Kiowa_Colorado_UnitedStates,1767.77
Kit Carson_Colorado_UnitedStates,2160.82
Lake_Colorado_UnitedStates,376.91
La Plata_Colorado_UnitedStates,1692.08
Larimer_Colorado_UnitedStates,2596.0
Las Animas_Colorado_UnitedStates,4772.67
Lincoln_Colorado_UnitedStates,2577.63
Logan_Colorado_UnitedStates,1838.55
Mesa_Colorado_UnitedStates,3328.97
Mineral_Colorado_UnitedStates,875.67
Moffat_Colorado_UnitedStates,4743.29
Montezuma_Colorado_UnitedStates,2029.53
Montrose_Colorado_UnitedStates,2240.7
Morgan_Colorado_UnitedStates,1280.43
Otero_Colorado_UnitedStates,1261.96
Ouray_Colorado_UnitedStates,541.59
Park_Colorado_UnitedStates,2193.85
Phillips_Colorado_UnitedStates,687.93
Pitkin_Colorado_UnitedStates,970.7
Prowers_Colorado_UnitedStates,1638.4
Pueblo_Colorado_UnitedStates,2386.1
Rio Blanco_Colorado_UnitedStates,3220.93
Rio Grande_Colorado_UnitedStates,911.96
Routt_Colorado_UnitedStates,2362.03
Saguache_Colorado_UnitedStates,3168.53
San Juan_Colorado_UnitedStates,387.49
San Miguel_Colorado_UnitedStates,1286.61
Sedgwick_Colorado_UnitedStates,548.04
Summit_Colorado_UnitedStates,608.36
Teller_Colorado_UnitedStates,557.06
Washington_Colorado_UnitedStates,2518.03
Weld_Colorado_UnitedStates,3987.24
Yuma_Colorado_UnitedStates,2364.41
Fairfield_Connecticut_UnitedStates,624.89
Hartford_Connecticut_UnitedStates,735.1
Litchfield_Connecticut_UnitedStates,920.56
Middlesex_Connecticut_UnitedStates,369.3
New Haven_Connecticut_UnitedStates,604.51
New London_Connecticut_UnitedStates,664.88
Tolland_Connecticut_UnitedStates,410.21
Windham_Connecticut_UnitedStates,512.91
Kent_Delaware_UnitedStates,586.18
New Castle_Delaware_UnitedStates,426.29
Sussex_Delaware_UnitedStates,936.08
Alachua_Florida_UnitedStates,875.02
Baker_Florida_UnitedStates,585.23
Bay_Florida_UnitedStates,758.46
Bradford_Florida_UnitedStates,293.96
Brevard_Florida_UnitedStates,1015.66
Broward_Florida_UnitedStates,1209.79
Calhoun_Florida_UnitedStates,567.33
Charlotte_Florida_UnitedStates,680.28
Citrus_Florida_UnitedStates,581.7
Clay_Florida_UnitedStates,604.36
Collier_Florida_UnitedStates,1998.32
Columbia_Florida_UnitedStates,797.57
DeSoto_Florida_UnitedStates,637.06
Dixie_Florida_UnitedStates,705.05
Duval_Florida_UnitedStates,762.19
Escambia_Florida_UnitedStates,656.46
Flagler_Florida_UnitedStates,485.46
Franklin_Florida_UnitedStates,534.73
Gadsden_Florida_UnitedStates,516.33
Gilchrist_Florida_UnitedStates,349.68
Glades_Florida_UnitedStates,806.01
Gulf_Florida_UnitedStates,564.01
Hamilton_Florida_UnitedStates,513.79
Hardee_Florida_UnitedStates,637.78
Hendry_Florida_UnitedStates,1152.75
Hernando_Florida_UnitedStates,472.54
Highlands_Florida_UnitedStates,1016.62
Hillsborough_Florida_UnitedStates,1020.21
Holmes_Florida_UnitedStates,478.78
Indian River_Florida_UnitedStates,502.87
Jackson_Florida_UnitedStates,917.76
Jefferson_Florida_UnitedStates,598.1
Lafayette_Florida_UnitedStates,543.41
Lake_Florida_UnitedStates,938.38
Lee_Florida_UnitedStates,784.51
Leon_Florida_UnitedStates,666.85
Levy_Florida_UnitedStates,1118.21
Liberty_Florida_UnitedStates,835.56
